,english_name,french_name,spanish_name,Country,ISO639-3_codes,endangerment_degree,alternate_names,name_in_the_language,number_of_speakers,Latitude,Longitude,location_description,GDP_per_capita_US_dollars,expenditure_on_research_and_development_GDP_percentage,co2_emissions_percapita_metric_tons,tourist_arrivals_thousands,threatened_species_total_number,expenditure_on_secondary_education,population_mid_year_estimates_millions,international_migrants_number,land_area_thousand_hectars,internet_usage_percentage_of_people,expenditure_on_education_percentage_GDP,expenditure_on_health_percentage_of_GDP,continent,family,language_vitality_level,country_vitality_level,Continent
1,South Italian,italien du sud,napolitano-calabrés,Italy,nap,Vulnerable,Neapolitan; Neapolitan-Calabrese; неаполитанский; неаполитанско-калабрийский,NA,7500000,40.9798,15.249,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria",35972,1.2,6.6,43626,174,2849,59.33,5787893,29414,53.7,4.3,8.9,NA,NA,5,4,Europe
2,Sicilian,sicilien,siciliano,Italy,scn,Vulnerable,NA,NA,5.00E+06,37.4399,14.5019,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities",35972,1.2,6.6,43626,174,2849,59.33,5787893,29414,53.7,4.3,8.9,Eurasia,Indo-European,5,4,Europe
3,Low Saxon,bas-saxon,bajo sajón,Germany,"act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch",Neddersassisch,4800000,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",42020,2.7,9.5,26875,79,2747,80.83,9812263,34857,82,4.9,11.1,NA,NA,5,4.142857143,Europe
4,Low Saxon,bas-saxon,bajo sajón,Denmark,"act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch",Neddersassisch,4800000,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",57967,2.9,8.5,8744,33,256,5.55,500772,4243,88.7,8.6,10.3,NA,NA,5,4.5,Europe
5,Low Saxon,bas-saxon,bajo sajón,Netherlands,"act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch",Neddersassisch,4800000,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",50744,1.7,10.3,10883,24,713,16.68,1832510,3373,90.7,5.5,10.2,NA,NA,5,4.666666667,Europe
6,Low Saxon,bas-saxon,bajo sajón,Poland,"act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch",Neddersassisch,4800000,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",12519,0.7,8,12470,37,1510,38.33,642417,30628,62.3,5.1,6.4,NA,NA,5,3.888888889,Europe
7,Low Saxon,bas-saxon,bajo sajón,Russian Federation,"act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch",Neddersassisch,4800000,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",10732,1.1,10.7,22281,126,3210,143.48,11194710,1637687,43,4.1,5,NA,NA,5,3.135135135,Europe
8,Belarusian,biélorusse,bielorruso,Belarus,bel,Vulnerable,NA,NA,4.00E+06,53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,6075,0.7,6.3,5674,16,294,9.42,1090378,20290,31.8,5.2,5.7,Eurasia,Indo-European,5,4.5,Europe
9,Belarusian,biélorusse,bielorruso,Latvia,bel,Vulnerable,NA,NA,4.00E+06,53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,11269,0.6,3.9,1373,18,83,2.12,313786,6224,68.4,5.1,6.1,Eurasia,Indo-European,5,3.5,Europe
10,Belarusian,biélorusse,bielorruso,Lithuania,bel,Vulnerable,NA,NA,4.00E+06,53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,11889,0.8,4,1507,17,105,3.12,160772,6268,62.1,5.3,6.8,Eurasia,Indo-European,5,4,Europe
11,Belarusian,biélorusse,bielorruso,Poland,bel,Vulnerable,NA,NA,4.00E+06,53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,12519,0.7,8,12470,37,1510,38.33,642417,30628,62.3,5.1,6.4,Eurasia,Indo-European,5,3.888888889,Europe
12,Belarusian,biélorusse,bielorruso,Russian Federation,bel,Vulnerable,NA,NA,4.00E+06,53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,10732,1.1,10.7,22281,126,3210,143.48,11194710,1637687,43,4.1,5,Eurasia,Indo-European,5,3.135135135,Europe
