Country,Total Languages
Algeria,22
Egypt,23
Malawi,20
Senegal,46
Angola,48
Equatorial Guinea,16
Mali,70
Seychelles,3
Benin,55
Eritrea,15
Mauritania,9
Sierra Leone,28
Botswana,38
Eswatini,8
Mauritius,16
Somalia,14
Burkina Faso,71
Ethiopia,93
Mayotte,5
South Africa,52
Burundi,6
Gabon,44
Morocco,15
South Sudan,74
Cameroon,284
Gambia,17
Mozambique,49
Sudan,83
Cape Verde Islands,2
Ghana,88
Namibia,30
Tanzania,130
Central African Republic,79
Guinea,42
Niger,26
Togo,49
Chad,133
Guinea-Bissau,26
Nigeria,533
Tunisia,16
Comoros,8
Kenya,81
Réunion,10
Uganda,46
Congo,64
Lesotho,6
Rwanda,6
Western Sahara,5
Côte d’Ivoire,93
Liberia,36
Saint Helena,1
Zambia,53
Democratic Republic of the Congo,216
Libya,30
São Tomé e Príncipe,8
Zimbabwe,26
Djibouti,7
Madagascar,29
Anguilla,2
Chile,14
Guatemala,27
Saint Kitts and Nevis,3
Antigua and Barbuda,2
Colombia,92
Guyana,21
Saint Lucia,4
Argentina,54
Costa Rica,12
Haiti,4
Saint Martin,5
Aruba,5
Cuba,4
Honduras,13
Saint Pierre and Miquelon,1
Bahamas,5
Curacao,5
Jamaica,8
Saint Vincent and the Grenadines,3
Barbados,3
Dominica,4
Martinique,3
Sint Maarten,6
Belize,11
Dominican Republic,9
Mexico,298
Suriname,25
Bermuda,3
Ecuador,26
Montserrat,2
Trinidad and Tobago,9
Bolivia,46
El Salvador,10
Nicaragua,12
Turks and Caicos Islands,3
Brazil,241
Falkland Islands,1
Panama,24
U.S. Virgin Islands,5
British Virgin Islands,3
French Guiana,20
Paraguay,27
United States,340
Canada,186
Greenland,3
Peru,107
Uruguay,11
Caribbean Netherlands,6
Grenada,4
Puerto Rico,9
Venezuela,52
Cayman Islands,4
Guadeloupe,5
Saint Barthélemy,3
Afghanistan,49
Cyprus,15
Laos,91
Saudi Arabia,35
Armenia,12
East Timor,22
Lebanon,17
Singapore,34
Azerbaijan,34
Georgia,27
Malaysia,156
South Korea,7
Bahrain,14
India,472
Maldives,3
Sri Lanka,12
Bangladesh,44
Indonesia,724
Mongolia,13
Syria,26
Bhutan,27
Iran,87
Myanmar,129
Tajikistan,27
British Indian Ocean Territory,1
Iraq,32
Nepal,122
Thailand,87
Brunei,19
Israel,52
North Korea,3
Turkey,55
Cambodia,31
Japan,32
Oman,31
Turkmenistan,30
China,311
Jordan,13
Pakistan,90
United Arab Emirates,27
China–Hong Kong,11
Kazakhstan,47
Palestine,11
Uzbekistan,33
China–Macao,7
Kuwait,22
Philippines,192
Viet Nam,112
China–Taiwan,35
Kyrgyzstan,22
Qatar,18
Yemen,21
Aland Islands,3
Finland,47
Liechtenstein,4
Romania,33
Albania,11
France,43
Lithuania,14
Russian Federation,161
Andorra,5
Germany,93
Luxembourg,19
San Marino,2
Austria,36
Gibraltar,3
Malta,9
Serbia,25
Belarus,11
Greece,32
Moldova,13
Slovakia,14
Belgium,31
Guernsey,3
Monaco,6
Slovenia,15
Bosnia and Herzegovina,13
Hungary,23
Montenegro,12
Spain,32
Bulgaria,24
Iceland,7
Netherlands,55
Sweden,83
Croatia,23
Ireland,16
North Macedonia,14
Switzerland,29
Czechia,24
Isle of Man,3
Norway,57
Ukraine,43
Denmark,51
Italy,54
Poland,28
United Kingdom,78
Estonia,14
Jersey,4
Portugal,25
Vatican State,2
Faroe Islands,3
Latvia,23
American Samoa,5
Guam,8
Niue,2
Solomon Islands,75
Australia,489
Kiribati,2
Norfolk Island,2
Tokelau,2
Christmas Island,2
Marshall Islands,2
Northern Mariana Islands,8
Tonga,4
Cocos (Keeling) Islands,2
Micronesia,18
Palau,6
Tuvalu,3
Cook Islands,5
Nauru,3
Papua New Guinea,852
Vanuatu,113
Fiji,18
New Caledonia,41
Pitcairn,2
Wallis and Futuna,3
French Polynesia,9
New Zealand,67
Samoa,2
